SCORE	CO_FREQ	NODE_FREQ	COLL_FREQ	NODE	COLL	EM_N	EM_C
2204.2154373284343	2396.0	537.0	537.0	:face_with_symbols_on_mouth:	:face_with_symbols_on_mouth:	🤬	🤬
749.210456657883	758.0	187.0	187.0	:rolling_on_the_floor_laughing:	:rolling_on_the_floor_laughing:	🤣	🤣
655.063398542788	674.0	303.0	303.0	:face_with_tears_of_joy:	:face_with_tears_of_joy:	😂	😂
598.87975440042	600.0	26.0	26.0	:Ukraine:	:Ukraine:	🇺🇦	🇺🇦
457.1635878927422	464.0	207.0	207.0	:enraged_face:	:enraged_face:	😡	😡
372.00634525578977	422.0	659.0	659.0	:airplane:	:airplane:	✈️	✈️
356.3818266038845	360.0	157.0	157.0	:Christmas_tree:	:Christmas_tree:	🎄	🎄
289.28625276813335	296.0	257.0	257.0	:loudly_crying_face:	:loudly_crying_face:	😭	😭
266.6535057984882	268.0	66.0	66.0	:face_vomiting:	:face_vomiting:	🤮	🤮
229.59663300794318	232.0	143.0	143.0	:clapping_hands:	:clapping_hands:	👏	👏
194.26348763709817	206.0	428.0	428.0	:red_heart:	:red_heart:	❤️	❤️
189.55469680954104	191.0	157.0	50.0	:Christmas_tree:	:wrapped_gift:	🎄	🎁
189.55469680954104	191.0	50.0	157.0	:wrapped_gift:	:Christmas_tree:	🎁	🎄
166.98379244329828	168.0	18.0	18.0	:backhand_index_pointing_down_medium_skin_tone:	:backhand_index_pointing_down_medium_skin_tone:	👇🏽	👇🏽
162.8414345835157	164.0	57.0	57.0	:sparkles:	:sparkles:	✨	✨
130.99114210411742	132.0	15.0	15.0	:money-mouth_face:	:money-mouth_face:	🤑	🤑
130.64844212215255	132.0	57.0	157.0	:sparkles:	:Christmas_tree:	✨	🎄
130.64844212215252	132.0	157.0	57.0	:Christmas_tree:	:sparkles:	🎄	✨
124.5944507687403	126.0	104.0	104.0	:eyes:	:eyes:	👀	👀
