FREQ	WORD	FPM
45067	the	32948.33777840165
35009	i	25594.966545012165
31079	to	22721.75626988583
25488	you	18634.194272880406
22021	and	16099.48179861501
21173	a	15479.511744338386
20616	it	15072.290847838292
19361	is	14154.764411379374
17741	of	12970.387656747145
15501	for	11332.730909601347
15140	this	11068.804978476512
13386	on	9786.461257720382
13047	's	9538.619455362155
12460	n't	9109.465655998503
10503	#savemotherlandfortsalem	7678.709292532285
10278	my	7514.212521055587
10252	that	7495.204005240502
10143	in	7415.514458169568
9508	#motherlandfortsalem	6951.268014224219
9434	please	6897.166853827438
9308	your	6805.048661800487
9127	hulu	6672.72014785701
9026	do	6598.879374883025
8584	we	6275.734606026577
8311	all	6076.145189968182
8292	are	6062.254351487928
7937	not	5802.715000935804
7903	show	5777.857711023769
7743	so	5660.882229084784
7740	have	5658.688938798427
7356	with	5377.947782144863
7258	be	5306.300299457233
6707	why	4903.465983529853
6583	me	4812.809985027138
5986	up	4376.345218042298
5931	watch	4336.134896125772
5594	can	4089.7552872917836
5543	what	4052.469352423732
5261	just	3846.3000655062697
5063	but	3701.5429066067754
5061	'm	3700.080713082538
4945	#motherlandfortsalem4	3615.2734886767735
4808	get	3515.113232266517
4595	was	3359.3896219352423
4445	no	3249.7251076174434
4435	season	3242.414139996257
4209	if	3077.1862717574395
4107	more	3002.6144020213364
4059	like	2967.5217574396406
4026	will	2943.395564289725
3886	when	2841.0420175931126
3742	need	2735.7640838480256
3564	ads	2605.628860190904
3539	now	2587.3514411379374
3505	ca	2562.494151225903
3418	they	2498.8887329215795
3385	back	2474.762539771664
3301	about	2413.3504117536963
3257	out	2381.1821542204752
3250	love	2376.0644768856446
3208	how	2345.358412876661
3188	one	2330.736477634288
3183	or	2327.0809938236944
3180	us	2324.8877035373384
3100	as	2266.3999625678457
3085	at	2255.433511136066
3003	would	2195.4835766423357
2983	there	2180.8616413999625
2926	an	2139.189125959199
2837	want	2074.1215141306384
2836	y'	2073.3904173685196
2835	time	2072.659320606401
2807	from	2052.1886112670786
2786	tv	2036.8355792625866
2680	live	1959.3393224780086
2593	episode	1895.7339041736852
2592	watching	1895.0028074115664
2578	know	1884.7674527419053
2550	going	1864.2967434025827
2542	has	1858.4479693056335
2489	our	1819.6998409133446
2461	see	1799.2291315740222
2416	new	1766.3297772786823
2389	service	1746.5901647014787
2389	make	1746.5901647014787
2366	only	1729.7749391727493
