FREQ	WORD	FPM
230975	to	48724.94533671843
209701	the	44237.12419982765
105712	a	22300.298393484918
89769	in	18937.069457438585
82548	reply	17413.77546338536
79204	app	16708.34752873448
77455	ba	16339.390155019055
77214	's	16288.550402551691
75017	free	15825.085937112703
73613	here	15528.90746215761
72597	out	15314.578879141673
71292	and	15039.28478383085
65934	#unsubscribe	13908.99684308342
64209	us	13545.102349281757
63487	you	13392.794045209408
63413	only	13377.183498808641
60451	order	12752.33973611848
58914	opt	12428.104468307954
55778	on	11766.554826243017
55359	u	11678.165381081917
52820	more	11142.554876871814
52016	your	10972.948399760779
49834	menu	10512.648234267892
49483	is	10438.603615529119
48453	we	10221.32168589682
45836	get	9669.256821966992
42240	for	8910.66864822161
41086	mcdonald	8667.228505701542
40827	today	8612.591593298857
40180	now	8476.104788957015
38628	what	8148.705221200387
35077	with	7399.60994729331
35024	12/24	7388.429420817086
34755	this	7331.682975117
34587	it	7296.242815720664
33834	mariah	7137.394958426373
30272	like	6385.979197892154
30131	share	6356.234778398801
30082	as	6345.898065241537
26648	about	5621.484330914051
26564	#mcdonaldshacks	5603.764251215882
25753	our	5432.681100796665
25103	until	5295.561436465604
24901	experience	5252.948863858104
23544	dahling	4966.685195400795
22940	at	4839.2693842377785
21841	ur	4607.431674853414
21735	always	4585.0706219009635
21704	let	4578.531068679021
20479	that	4320.113239747405
20432	come	4310.19843324962
20163	can	4253.451987549534
20161	n't	4253.030080890055
19366	da	4085.322183746679
18482	be	3898.839440256435
18015	not	3800.3242352678103
17923	want	3780.9165289317216
17052	deals	3597.176178728099
16920	see	3569.330339202407
16916	up	3568.486525883446
16834	of	3551.1883528447584
16531	bag	3487.2694939335097
16503	#stop	3481.362800700787
16503	unsubscribe	3481.362800700787
16031	info	3381.7928290634622
15982	cheeseburger	3371.4561159061973
15949	else	3364.4946560247745
15814	tweet	3336.0159565098616
15453	mcnuggets	3259.8618044736872
14819	by	3126.117393418467
14773	so	3116.4135402504226
14258	most	3007.7725754342737
14084	if	2971.066696059497
14024	tell	2958.4094962750914
13896	possible	2931.4074700683595
13840	or	2919.594083602914
13574	camp	2863.480497892049
13458	every	2839.009911642198
13250	high	2795.131619056258
13005	talk	2743.448053269935
12976	daily	2737.330406707472
12917	own	2724.8841602528064
12897	when	2720.6650936580045
12884	ready	2717.922700371383
12821	sings	2704.6326405977575
12803	time	2700.8354806624357
12512	many	2639.448061708068
12252	delicious	2584.600195975643
12140	gift	2560.9734230447525
12118	unwrap	2556.3324497904705
11763	build	2481.444017732737
11617	hack	2450.644831590683
11544	do	2435.245238519656
11525	wait	2431.2371252545945
11428	'em	2410.7746522698053
11428	six	2410.7746522698053
11425	6pc	2410.141792280585
11424	gifts	2409.9308389508446
10953	have	2310.57182064326
10936	day	2306.9856140376783
10764	bc	2270.701641322382
10597	has	2235.472435255786
10407	deal	2195.391302605168
10384	deserve	2190.539376021146
10339	thru	2181.0464761828416
10285	ca	2169.6549963768766
10205	big	2152.778729997669
10176	mac	2146.6610834352064
10105	tried	2131.6833970236594
10055	create	2121.1357305366546
10048	innovations	2119.659057228474
9592	food	2023.4643388669908
9441	location	1991.6103860762364
8779	know	1851.9592817882935
8389	just	1769.6874831896566
8225	booth	1735.0911371122809
8044	details	1696.9085844293238
8035	are	1695.010004461663
7830	hash	1651.7645718649435
7800	back	1645.4359719727406
7737	double	1632.1459121991147
7500	should	1582.149973050712
7449	connect	1571.3913532339673
7297	mcflurry	1539.3264471134728
7241	summer	1527.5130606480275
7207	link	1520.3406474368644
7205	going	1519.918740777384
7166	sure	1511.6915609175205
7108	stop	1499.4562677925949
7059	friend	1489.1195546353304
7053	bring	1487.8538346568896
7049	literally	1487.0100213379294
7039	working	1484.9004880405284
7035	updates	1484.056674721568
7027	receiving	1482.3690480836472
7022	unlimited	1481.3142814349467
7020	downloads	1480.8923747754666
7005	're	1477.7280748293651
6866	important	1448.405561995492
6860	sandwich	1447.1398420170513
6753	omar	1424.567835734861
6721	concert	1417.8173291831781
6719	apollo	1417.395422523698
6716	performing	1416.7625625344776
6716	cooler	1416.7625625344776
6653	drops	1403.4725027608517
6650	taking	1402.8396427716314
6619	never	1396.3000895496884
6557	close	1383.2209831058026
6550	kid	1381.744309797622
6545	space	1380.6895431489215
6542	cudi	1380.0566831597012
6538	aahhhhhhmmmm	1379.2128698407407
6538	exercise	1379.2128698407407
6538	caution	1379.2128698407407
6151	fries	1297.573931231324
6091	being	1284.9167314469184
6065	some	1279.4319448736758
6029	store	1271.8376250030324
5905	restaurant	1245.6794121152607
5323	where	1122.9045742065255
5294	but	1116.7869276440626
5172	all	1091.050621415771
5119	please	1079.870094939546
5104	take	1076.7057949934447
5050	hours	1065.3143151874795
4989	visit	1052.4461620733337
4901	quality	1033.8822690562054
4882	place	1029.8741557911435
4835	from	1019.9593492933591
4807	may	1014.0526560606364
4772	'd	1006.6692895197331
4686	right	988.527303162085
4559	help	961.7362302850929
4545	prices	958.7828836687315
4514	download	952.2433304467886
4486	hear	946.336637214066
4466	were	942.117570619264
4454	cause	939.5861306623829
4428	aim	934.1013440891404
4419	individual	932.2027641214796
4303	care	907.7321778716286
4173	off	880.3082450054162
4170	drink	879.675385016196
4158	vary	877.1439450593148
4149	think	875.245365091654
4143	u.	873.9796451132133
4133	gets	871.8701118158124
4116	performance	868.2839052102308
4113	star	867.6510452210106
4112	weekly	867.4400918912704
4112	blackbear	867.4400918912704
4111	kicking	867.2291385615304
4111	mega	867.2291385615304
4074	people	859.4238653611468
4071	nt	858.7910053719265
4070	hand	858.5800520421865
4062	reach	856.8924254042657
4031	after	850.3528721823227
4029	name	849.9309655228426
4013	gon	846.555712247001
4013	na	846.555712247001
4002	medium	844.23522561986
4001	believe	844.0242722901199
3997	sipping	843.1804589711595
3996	surf+turf	842.9695056414195
3993	mmm	842.3366456521991
3993	u'd	842.3366456521991
3992	order+build	842.125692322459
3990	wo	841.7037856629788
3984	add	840.4380656845383
3981	wanna	839.805205695318
3954	sea	834.1094657923354
3954	air	834.1094657923354
3953	yourself	833.8985124625954
3952	land	833.6875591328552
3948	pics	832.8437458138949
3939	mcmuffin	830.945165846234
3930	pricing	829.0465858785732
3917	brown	826.304192591952
3915	browns	825.8822859324717
3906	plop	823.9837059648108
3841	bbq	810.2717395317047
3831	tangy	808.1622062343038
3830	safety	807.9512529045636
3816	crunchy	804.9979062882023
3814	nbd	804.5759996287221
3812	casually	804.1540929692419
3731	their	787.0668732602943
3570	point	753.1033871721389
3400	mind	717.2413211163229
3236	say	682.6449750389472
3209	different	676.9492351359647
3128	restaurants	659.862015427017
3046	why	642.5638423883292
3017	serve	636.4461958258664
2955	check	623.3670893819806
2946	wish	621.4685094143197
2926	latest	617.2494428195179
2819	them	594.6774365373277
2793	feel	589.1926499640851
2784	drop	587.2940699964244
2725	best	574.8478235417588
2722	timings	574.2149635525385
2555	look	538.9857574859426
2528	matters	533.29001758296
2495	based	526.3285577015369
2490	few	525.2737910528364
2444	accurate	515.569937884792
2426	set	511.77277794947037
2409	thoughts	508.1865713438887
2394	top	505.02227139778734
2342	good	494.0526982513024
2333	each	492.15411828364154
2280	stores	480.9735918074165
2275	intend	479.918825158716
2269	into	478.6531051802754
2252	owner	475.0668985746938
2250	variables	474.64499191521367
2242	sharing	472.95736527729287
2205	other	465.15209207690936
2169	try	457.55777220626595
2156	make	454.81537891964473
2128	local	448.90868568692207
2126	had	448.48677902744186
2109	100	444.90057242186026
2109	locate	444.90057242186026
2088	would	440.47055249731824
2079	near	438.5719725296574
2073	well	437.30625255121686
2054	hit	433.29813928615505
2038	health	429.9228860103135
2009	speed	423.80523944785074
2008	costs	423.5942861181107
1988	world	419.3752195233088
1983	miss	418.3204528746083
1966	accuracy	414.7342462690267
1955	service	412.41375964188563
1923	telling	405.6632530902026
1921	way	405.2413464307224
1906	wrong	402.07704648462095
1895	availability	399.75655985747994
1895	got	399.75655985747994
1886	no	397.8579798898191
1861	does	392.5841466463167
1825	priority	384.9898267756733
1814	taste	382.6693401485322
1813	via	382.4583868187921
1805	leave	380.7707601808714
1805	went	380.7707601808714
1781	waiting	375.7078802671091
1769	certainly	373.176440310228
1769	famous	373.176440310228
1749	disappoint	368.95737371542606
1730	line	364.94926045036425
1726	i	364.1054471314039
1661	awesome	350.3934806982977
1617	definitely	341.11153418973356
1589	item	335.2048409570109
1587	times	334.7829342975307
1586	items	334.5719809677906
1578	cost	332.88435432986984
1574	factors	332.04054101090946
1565	keep	330.1419610432486
1561	while	329.29814772428824
1555	extra	328.03242774584766
1514	something	319.3833412265038
1504	differ	317.2738079291028
1497	provide	315.7971346209221
1492	call	314.74236797222164
1473	thing	310.73425470715983
1471	orders	310.3123480476797
1436	give	302.9289815067763
1423	things	300.1865882201551
1423	matter	300.1865882201551
1422	decide	299.975634890415
1400	they	295.3346616361329
1367	nearby	288.3732017547098
1350	how	284.7869951491282
1327	sole	279.935068565106
1325	unusual	279.5131619056258
1310	available	276.34886195952436
1298	me	273.81742200264324
1295	value	273.184562013423
1280	wanted	270.02026206732154
1273	perfect	268.54358875914085
1268	discuss	267.4888221104404
1264	thanks	266.64500879148
1248	happened	263.2697555156385
1219	ask	257.15210895317574
1219	there	257.15210895317574
1212	've	255.67543564499508
1209	those	255.04257565577478
1203	click	253.77685567733423
1194	kind	251.87827570967337
1167	fave	246.1825358066908
1132	oops	238.79916926578747
1117	points	235.63486931968606
1107	elaborate	233.5253360222851
1100	greatest	232.04866271410444
1098	fun	231.62675605462425
1095	hearing	230.99389606540396
1088	appreciate	229.5172227572233
1071	another	225.9310161516417
1066	its	224.87624950294122
1056	one	222.76671620554026
1046	locations	220.6571829081393
1040	affect	219.39146292969875
1037	operation	218.75860294047845
1031	rewards	217.4928829620379
1026	attention	216.43811631333742
1019	too	214.96144300515675
1009	utmost	212.8519097077558
1008	lots	212.64095637801572
1005	suggest	212.00809638879542
1002	mobile	211.37523639957513
1002	importance	211.37523639957513
992	very	209.2657031021742
988	stay	208.4218897832138
987	cool	208.21093645347372
980	tuned	206.73426314529306
971	interest	204.8356831776322
968	continuously	204.2028231884119
963	hot	203.14805653971143
947	happy	199.77280326386992
943	seriously	198.92898994490955
942	priorities	198.71803661516944
941	first	198.50708328542936
939	information	198.08517662594915
938	depends	197.87422329620907
928	through	195.7646899988081
926	bummer	195.34278333932792
920	evaluate	194.07706336088737
915	fresh	193.0222967121869
914	quick	192.81134338244678
909	placing	191.7565767337463
899	oh	189.64704343634537
898	varies	189.43609010660526
890	been	187.74846346868452
890	faves	187.74846346868452
869	improve	183.31844354414253
853	weeks	179.94319026830098
852	reminder	179.7322369385609
844	sound	178.04461030064013
844	an	178.04461030064013
842	doing	177.62270364115994
836	happen	176.3569836627194
833	makes	175.7241236734991
833	understand	175.7241236734991
820	hate	172.98173038687787
818	love	172.55982372739766
818	condiments	172.55982372739766
809	seems	170.6612437597368
804	long	169.60647711103633
791	getting	166.8640838244151
784	great	165.38741051623444
781	chat	164.75455052701415
779	using	164.33264386753396
756	much	159.48071728351178
750	down	158.21499730507122
748	filled	157.79309064559104
747	quantity	157.58213731585093
747	determines	157.58213731585093
745	pie	157.16023065637074
731	timing	154.2068840400094
728	detail	153.57402405078912
725	replying	152.94116406156883
725	perfection	152.94116406156883
724	might	152.73021073182875
724	team	152.73021073182875
712	ordered	150.1987707749476
707	better	149.14400412624713
706	will	148.93305079650705
699	brim	147.45637748832638
696	before	146.8235174991061
696	payments	146.8235174991061
687	number	144.92493753144524
685	aspect	144.50303087196505
684	having	144.29207754222494
681	inquire	143.65921755300465
676	must	142.60445090430417
675	odd	142.3934975745641
674	work	142.182544244824
674	cooked	142.182544244824
673	perfectly	141.9715909150839
668	sounds	140.91682426638343
645	reasons	136.06489768236125
644	could	135.85394435262114
627	served	132.26773774703955
625	receive	131.84583108755933
608	apple	128.25962448197774
607	note	128.04867115223763
604	decisions	127.41581116301735
602	still	126.99390450353717
600	any	126.57199784405697
599	owners	126.36104451431687
598	short	126.15009118457678
597	anything	125.93913785483669
594	bottom	125.3062778656164
590	quite	124.46246454665602
589	absolutely	124.25151121691593
587	process	123.82960455743573
580	address	122.35293124925506
577	date	121.72007126003479
572	expect	120.6653046113343
571	concerns	120.45435128159421
571	salute	120.45435128159421
569	ears	120.03244462211403
567	recommend	119.61053796263384
558	reinstalling	117.71195799497298
552	issue	116.44623801653242
546	comfort	115.18051803809185
544	highest	114.75861137861165
533	preferences	112.43812475147061
531	chris	112.01621809199042
531	supplies	112.01621809199042
527	reaching	111.17240477303004
521	totally	109.90668479458947
519	uninstalling	109.48477813510928
518	redeem	109.27382480536919
517	goal	109.0628714756291
515	start	108.6409648161489
514	buzz	108.4300114864088
514	operations	108.4300114864088
514	save	108.4300114864088
509	home	107.37524483770832
506	various	106.74238484848804
503	prime	106.10952485926776
496	breakfast	104.6328515510871
495	couch	104.421898221347
494	did	104.2109448916069
492	helpful	103.78903823212671
492	bringing	103.78903823212671
486	specific	102.52331825368614
480	online	101.25759827524557
479	services	101.04664494550548
477	committed	100.62473828602529
474	pace	99.99187829680501
473	discretion	99.7809249670649
469	contact	98.93711164810453
469	last	98.93711164810453
468	earning	98.72615831836444
454	mymcdonald	95.77281170200311
451	music	95.13995171278282
448	area	94.50709172356254
440	lines	92.81946508564178
431	decides	90.92088511798093
430	hey	90.70993178824082
427	same	90.07707179902054
425	super	89.65516513954036
420	lot	88.60039849083988
420	reinstall	88.60039849083988
420	extremely	88.60039849083988
418	reason	88.1784918313597
416	meal	87.7565851718795
414	disappointing	87.33467851239931
414	michael	87.33467851239931
413	opinion	87.12372518265921
411	moving	86.70181852317903
410	fix	86.49086519343894
410	new	86.49086519343894
406	mcdelivery	85.64705187447855
406	maintaining	85.64705187447855
403	next	85.01419188525827
401	follow	84.59228522577807
401	recent	84.59228522577807
400	main	84.38133189603798
400	taken	84.38133189603798
399	was	84.17037856629788
393	my	82.90465858785731
392	who	82.69370525811722
391	bit	82.48275192837713
390	per	82.27179859863703
390	enjoy	82.27179859863703
389	strive	82.06084526889694
387	jay	81.63893860941674
386	mike	81.42798527967665
386	unsubscribed	81.42798527967665
384	compromise	81.00607862019646
382	sauce	80.58417196071628
382	ensure	80.58417196071628
381	uninstall	80.37321863097618
376	such	79.3184519822757
374	listening	78.89654532279552
373	john	78.68559199305541
368	david	77.63082534435495
