FREQ	WORD	FPM
23731	to	37749.68543254417
23652	we	37624.01752351501
23220	your	36936.820856418846
17248	the	27436.963227024644
16989	and	27024.963373372084
16216	you	25795.32674451714
16023	a	25488.315270559826
13837	us	22010.97287641118
13739	dm	21855.081039893994
11488	confirmation	18274.340999075783
11469	please	18244.11707158776
11430	code	18182.07848358602
10797	name	17175.144478327056
8870	full	14109.801937830973
8661	're	13777.338735462688
8403	with	13366.929614835812
7721	for	12282.049691318256
7020	can	11166.945840312674
6842	letter	10883.795361740644
6465	look	10284.089011057185
6396	on	10174.328432284881
5953	if	9469.633701906176
5787	take	9205.572019642372
5686	our	9044.90798404813
5564	email	8850.83855491449
5559	be	8842.884889786063
5559	six	8842.884889786063
5509	sorry	8763.348238501783
5296	send	8424.522104030759
5245	this	8343.394719720794
5021	'd	7987.070521967228
4727	hear	7519.395012415671
4624	hi	7355.549510770058
4263	flight	6781.2948884975685
4136	'll	6579.271794235502
4085	of	6498.144409925538
3997	at	6358.159903665208
3856	there	6133.8665470435435
3672	address	5841.171670317399
3485	that	5543.704594514198
3379	like	5375.086893791528
3363	happy	5349.635165380559
3278	is	5214.422858197286
3271	reservation	5203.287727017487
2975	here	4732.430751414559
2723	so	4331.5660289417965
2714	as	4317.249431710627
2712	closer	4314.067965659256
2470	's	3929.1105734433486
2462	help	3916.3847092378637
2401	in	3819.3499946710444
2309	are	3673.002556307972
2283	have	3631.6434976401474
2223	it	3536.1995160990136
2220	assistance	3531.4273170219567
2160	n't	3435.983335480823
2141	need	3405.759407992797
1806	or	2872.8638443881323
1791	via	2849.002849002849
1780	details	2831.5047857203076
1729	out	2750.3774014103437
1708	will	2716.972007870947
1591	still	2530.856243865736
1503	1	2390.871737605406
1416	team	2252.4779643707616
1395	frustration	2219.072570831365
1349	any	2145.898851649829
1296	jetblue	2061.5900012884936
1296	hello	2061.5900012884936
1287	6	2047.2734040573237
1287	chat	2047.2734040573237
1269	they	2018.6402095949834
1244	bag	1978.8718839528442
1238	see	1969.327485798731
1237	've	1967.7367527730453
1224	thanks	1947.057223439133
1221	an	1942.2850243620762
1190	do	1892.9723005658238
1172	baggage	1864.3391061034836
1153	reach	1834.1151786154578
1140	what	1813.4356492815455
1129	more	1795.937585999004
1113	about	1770.485857588035
1091	know	1735.4897310229526
1067	call	1697.3121384064991
1063	patience	1690.949206303757
1048	check	1667.0882109184734
1010	number	1606.6403559424218
1009	time	1605.0496229167363
984	try	1565.2812972745971
983	love	1563.6905642489116
975	options	1550.964700043427
973	all	1547.7832339920558
963	airport	1531.8759037352002
961	along	1528.6944376838292
956	able	1520.7407725554012
950	information	1511.1963744012878
947	crewmember	1506.424175324231
939	travel	1493.6983111187467
938	not	1492.107578093061
934	538	1485.7446459903188
917	assist	1458.7021845536642
902	experience	1434.8411891683807
856	into	1361.6674699868447
834	by	1326.6713434217622
833	booking	1325.0806103960765
816	soon	1298.038148959422
816	get	1298.038148959422
814	through	1294.856682908051
806	866	1282.1308187025663
804	contact	1278.949352651195
798	5438	1269.4049544970817
775	best	1232.8180949063137
767	from	1220.0922307008293
751	was	1194.6405022898603
750	when	1193.0497692641745
737	does	1172.3702399302622
728	let	1158.0536426990923
726	pass	1154.872176647721
720	crewmembers	1145.3277784936076
702	hey	1116.6945840312674
689	but	1096.015054697355
670	make	1065.7911272093293
666	flights	1059.428195106587
657	central	1045.111597875417
643	having	1022.8413355158191
634	online	1008.524738284649
631	how	1003.7525392075922
611	appreciate	971.937878693881
607	crew	965.5749465911387
598	review	951.2583493599685
595	sure	946.4861502829119
595	fare	946.4861502829119
591	may	940.1232181801696
590	hope	938.532485154484
582	departure	925.8066209489995
576	possible	916.2622227948862
574	website	913.0807567435149
574	browser	913.0807567435149
568	provide	903.5363585894016
561	delayed	892.4012274096026
561	claim	892.4012274096026
560	service	890.8104943839171
550	no	874.9031641270614
542	800	862.1772999215768
541	inflight	860.5865668958913
541	also	860.5865668958913
540	trueblue	858.9958338702057
536	book	852.6329017674634
536	feedback	852.6329017674634
534	thank	849.4514357160923
525	working	835.1348384849223
525	change	835.1348384849223
525	has	835.1348384849223
