FREQ	WORD	FPM
59315	we	40878.028206287425
56095	you	38658.90571072567
52739	to	36346.05630230789
45354	your	31256.547100530384
34216	the	23580.588605012737
31950	a	22018.932836396918
30135	for	20768.09205085512
24132	this	16631.013684129277
23771	please	16382.223863974683
22986	can	15841.226609621895
22792	with	15707.527925106684
22391	and	15431.171365876788
21706	dm	14959.090959212253
20744	us	14296.110884451256
20119	hi	13865.380586399673
19541	number	13467.041206761569
17772	're	12247.90217115637
15328	our	10563.57441365546
14569	confirmation	10040.495539701618
13712	hear	9449.878155013288
13602	if	9374.069622556208
12609	sorry	8689.725325011854
12197	in	8405.78791253625
11819	have	8145.282228274653
11550	there	7959.895907993252
10678	of	7358.940996151683
9939	on	6849.645491735491
9430	is	6498.858737002282
9351	send	6444.414427328563
9328	look	6428.563552360264
9285	are	6398.929307854315
9244	assistance	6370.673400302131
8570	so	5906.173846883305
8140	as	5609.831401823815
8127	that	5600.8722116243425
8031	flight	5534.712037843619
7499	at	5168.074408142112
7479	any	5154.291038604461
7334	hello	5054.361609456494
7010	be	4831.071022946554
6864	here	4730.452425321704
6786	thank	4676.697284124866
6428	out	4429.97496940092
6263	into	4316.262170715302
6157	baggage	4243.210312165753
5979	need	4120.538323280663
5902	about	4067.4723505607076
5867	apologize	4043.3514538698187
5777	^kf	3981.326290950391
5657	team	3898.626073724487
5480	experience	3776.643253316279
5257	take	3622.958682971474
5254	travel	3620.8911775408264
5082	like	3502.354199517031
4961	or	3418.9648138142443
4807	when	3312.8328683743343
4587	it	3161.215803460177
4421	details	3046.8138362976765
4361	'd	3005.4637276847247
4228	moment	2913.804320259348
4203	know	2896.5751083372847
4190	^lt	2887.6159181378116
4188	reservation	2886.2375811840466
4177	today	2878.656727938339
4009	reaching	2762.8764238220733
4008	^sz	2762.187255345191
3941	time	2716.012967394061
3901	thanks	2688.4462283187595
3897	not	2685.6895544112294
3874	will	2669.838679442931
3802	^mt	2620.218549107389
3774	^an	2600.921831754678
3751	what	2585.0709567863796
3738	delayed	2576.111766586907
3540	appreciate	2439.6564081641654
3446	united	2374.8745713372073
3430	^jk	2363.847875707087
3412	closer	2351.4428431232013
3374	email	2325.254441001665
3328	delay	2293.5526910650688
3211	file	2212.9199792698123
3207	do	2210.1633053622822
3134	's	2159.8540065498573
3118	an	2148.8273109197366
3109	teams	2142.624794627794
3009	airport	2073.7079469395408
3002	has	2068.8837676013627
2952	been	2034.4253437572363
2950	address	2033.0470068034713
2929	name	2018.574468788938
2861	assist	1971.711012360926
2774	patience	1911.7533548721456
2748	further	1893.8349744731995
2724	^jb	1877.294931028019
2700	provide	1860.7548875828381
2680	would	1846.9715180451874
2658	claim	1831.8098115537716
2552	see	1758.7579530042233
2469	wait	1701.556969422973
2468	let	1700.8678009460905
2467	able	1700.178632469208
2463	customer	1697.421958561678
2445	was	1685.0169259777922
2415	'll	1664.3418716713163
2389	happy	1646.4234912723705
2370	more	1633.3292902116023
2363	reach	1628.5051108734247
2363	help	1628.5051108734247
2335	n't	1609.2083935207136
2270	glad	1564.412442523349
2262	they	1558.8990947082887
2246	^af	1547.8723990781682
2196	information	1513.4139752340416
2162	agent	1489.9822470200354
2123	still	1463.1046764216167
2122	get	1462.4155079447341
2105	care	1450.6996438377312
2066	directly	1423.8220732393124
2046	800	1410.0387037016617
1981	feedback	1365.2427527042971
1942	up	1338.3651821058784
1923	additional	1325.2709810451101
1914	along	1319.0684647531675
1799	regret	1239.814089911676
1778	via	1225.341551897143
1719	by	1184.6806117610736
1711	check	1179.1672639460132
1699	hope	1170.8972422234228
