FREQ	WORD	FPM
71310	to	37616.830564426535
67273	for	35487.267459832656
63593	the	33546.025888144395
60175	you	31742.992276179593
50147	i	26453.108993329093
47350	please	24977.659896586687
42132	is	22225.105950643934
41769	with	22033.61934995838
39521	name	20847.773955079247
39513	hi	20843.553864706013
38097	delta	20096.597868643355
35951	your	18964.558626022976
32825	my	17315.558312681267
30038	and	15845.384328905404
29454	dm	15537.317731659223
29067	thanks	15333.170859853964
27260	a	14379.95794679943
23158	messaging	12216.10660792301
22841	in	12048.885526883558
21823	us	11511.87902688936
20199	of	10655.200681122586
19862	be	10477.429374150048
19667	assist	10374.564671302436
19004	assistance	10024.824681620557
18046	me	9519.468859425624
17658	link	9314.79447632371
16497	this	8702.353860907931
16026	we	8453.896040183701
15045	sorry	7936.407458165717
14824	happy	7819.82746160509
13956	'll	7361.947656109056
13418	our	7078.146578508979
13283	travel	7006.932553460632
13280	number	7005.350019570669
12644	if	6669.852834898459
12068	on	6366.006328025514
11656	message	6148.671673803895
11157	confirmation	5885.44353677334
11009	so	5807.371864868486
10682	can	5634.8756708624915
10420	send	5496.667711139034
9361	'm	4938.033247982005
9345	need	4929.593067235535
8810	are	4647.374523525421
8413	apologize	4437.952538753618
7922	full	4178.944492096298
7906	time	4170.504311349828
7809	meet	4119.335715574349
7791	will	4109.840512234569
7635	may	4027.54874995648
7622	private	4020.6911030999727
7486	using	3948.9495667549722
7347	that	3875.625496520008
6960	conversation	3671.478624714748
6735	provided	3552.788582967504
6716	reservation	3542.76586833107
6585	about	3473.6618884693416
6544	have	3452.0339253065104
6343	further	3346.0041546789726
6209	continue	3275.3176409272805
6124	there	3230.479180711655
6120	thank	3228.369135525037
5929	use	3127.6144778640432
5782	at	3050.070317255844
5704	out	3008.9244361167994
5699	baggage	3006.2868796335274
5658	get	2984.658916470696
5507	wait	2905.0047106758793
5432	how	2865.4413634267976
5379	hello	2837.4832647041135
5337	do	2815.327790244628
5229	still	2758.356570205951
5229	following	2758.356570205951
5212	as	2749.3888781628257
5201	hear	2743.586253899627
5128	today	2705.0779292438547
5086	through	2682.922454784369
4994	long	2634.3914154921627
4993	date	2633.8639041955084
4947	am	2609.598384549405
4921	appreciate	2595.8830908363902
4790	patience	2526.7791109746613
4777	flight	2519.9214641181543
4658	service	2457.147619816278
4648	via	2451.8725068497342
4582	share	2417.0567612705427
4552	know	2401.23142237091
4508	it	2378.0209253181156
4397	not	2319.4671713894754
4209	cities	2220.2950476184446
4134	let	2180.7317003693634
4035	experience	2128.508082000576
3736	help	1970.782204300905
3724	're	1964.452068741052
3722	reaching	1963.3970461477434
3608	any	1903.2607583291397
3499	or	1845.7620269938081
3479	here	1835.2118010607196
3443	cammie	1816.2213943811607
3332	information	1757.6676404525203
3307	delay	1744.4798580361598
3212	provide	1694.3662848539902
3091	center	1630.5374179588057
3068	inconvenience	1618.404658135754
2749	would	1450.1285545029946
2644	's	1394.7398683542808
2623	take	1383.662131124538
2616	review	1379.969552047957
2556	very	1348.318874248692
2540	all	1339.8786935022213
2500	look	1318.7782416360446
2401	click	1266.5546232672573
2331	able	1229.628832501448
2230	like	1176.3501915393517
2222	details	1172.1301011661164
2155	bernice	1136.7868442902704
2141	daisy	1129.4016861371085
2110	from	1113.0488359408216
2109	1	1112.5213246441672
2093	direct	1104.0811438976966
2071	hey	1092.4758953712994
2068	respond	1090.8933614813361
2011	again	1060.8252175720343
1964	email	1036.0321866292766
1962	an	1034.977164035968
1960	destination	1033.922141442659
1960	brazil	1033.922141442659
1941	800	1023.899426806225
1909	call	1007.0190653132837
1881	jan.	992.24874900696
1799	see	948.9928226812978
1774	was	935.8050402649372
1771	delayed	934.222506374974
1669	reach	880.4163541162234
1654	check	872.5036846664071
1645	care	867.7560829965174
1620	they	854.5683005801569
1593	has	840.3254955704876
1581	response	833.9953600106346
1570	well	828.192735747436
1545	pls	815.0049533310756
1533	ticket	808.6748177712226
1522	below	802.872193508024
1470	one	775.4416060819942
1451	josie	765.4188914455603
1445	customer	762.2538236656338
